id,school,zh,city,usNews,qs,nobel,costUG,admitUG,cdsC7Status,cdsC7Year,cdsC7Source,costStatus,admitStatus,nobelStatus,tuitionSource,nobelSource,scorecardSource
"princeton","Princeton","普林斯顿大学","Princeton, NJ","1","25","8","84000","3.95","verified-official-cds","2024-2025","https://ir.princeton.edu/sites/g/files/toruqf2041/files/documents/CDS_2425_Princeton_v2.pdf","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Princeton%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Princeton%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Princeton"
"mit","MIT","麻省理工学院","Cambridge, MA","2","1","26","91000","4.4","verified-official-cds","2024-2025","https://ir.mit.edu/projects/2024-25-common-data-set/","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=MIT%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=MIT%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=MIT"
"harvard","Harvard","哈佛大学","Cambridge, MA","3","5","31","91000","4.85","pending-official-cds","待核验","https://www.google.com/search?q=Harvard%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Harvard%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Harvard%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Harvard"
"stanford","Stanford","斯坦福大学","Stanford, CA","4","3","22","91000","5.3","pending-official-cds","待核验","https://www.google.com/search?q=Stanford%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Stanford%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Stanford%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Stanford"
"yale","Yale","耶鲁大学","New Haven, CT","5","21","11","84000","5.75","pending-official-cds","待核验","https://www.google.com/search?q=Yale%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Yale%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Yale%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Yale"
"uchicago","UChicago","芝加哥大学","Chicago, IL","6","13","33","87000","6.2","pending-official-cds","待核验","https://www.google.com/search?q=UChicago%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UChicago%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UChicago%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UChicago"
"penn","UPenn","宾夕法尼亚大学","Philadelphia, PA","7","11","9","87000","6.65","pending-official-cds","待核验","https://www.google.com/search?q=UPenn%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=UPenn%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=UPenn%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=UPenn"
"duke","Duke","杜克大学","Durham, NC","8","61","3","84000","7.1","pending-official-cds","待核验","https://www.google.com/search?q=Duke%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Duke%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Duke%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Duke"
"jhu","Johns Hopkins","约翰霍普金斯大学","Baltimore, MD","9","32","19","87000","7.55","pending-official-cds","待核验","https://www.google.com/search?q=Johns%20Hopkins%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Johns%20Hopkins%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Johns%20Hopkins%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Johns%20Hopkins"
"northwestern","Northwestern","西北大学","Evanston, IL","10","47","3","83000","8","pending-official-cds","待核验","https://www.google.com/search?q=Northwestern%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Northwestern%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Northwestern%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Northwestern"
"caltech","Caltech","加州理工学院","Pasadena, CA","11","10","20","90000","8.45","pending-official-cds","待核验","https://www.google.com/search?q=Caltech%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Caltech%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Caltech%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Caltech"
"cornell","Cornell","康奈尔大学","Ithaca, NY","12","16","8","83000","8.9","pending-official-cds","待核验","https://www.google.com/search?q=Cornell%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Cornell%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Cornell%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Cornell"
"brown","Brown","布朗大学","Providence, RI","13","79","8","83000","9.350000000000001","pending-official-cds","待核验","https://www.google.com/search?q=Brown%20Common%20Data%20Set%202024%202025%20C7%20official","estimated-needs-official-tuition-check","estimated-needs-CDS-or-Scorecard-check","needs-official-awards-check","https://www.google.com/search?q=Brown%20cost%20of%20attendance%20tuition%20fees%20official","https://www.google.com/search?q=Brown%20Nobel%20laureates%20official","https://collegescorecard.ed.gov/search/?search=Brown"
